Date,Close
1/5/2016,40.22
1/6/2016,40.05
1/7/2016,40.51
1/8/2016,39.88
1/11/2016,39.68
1/12/2016,40.06
1/13/2016,38.85
1/14/2016,39.39
1/15/2016,37.79
1/19/2016,37.65
1/20/2016,37.36
1/21/2016,37.1
1/22/2016,37.85
1/25/2016,37.89
1/26/2016,39.43
1/27/2016,38.5
1/28/2016,38.67
1/29/2016,40.15
2/1/2016,40.59
2/2/2016,39.27
2/3/2016,38.34
2/4/2016,38.7
2/5/2016,35.66
2/8/2016,33.96
2/9/2016,33.89
2/10/2016,34.57
2/11/2016,34.03
2/12/2016,35.11
2/16/2016,36.45
2/17/2016,36.85
2/18/2016,36.63
2/19/2016,34.95
2/22/2016,35.83
2/23/2016,36.2
2/24/2016,36.78
2/25/2016,38.36
2/26/2016,37.47
2/29/2016,37.1
3/1/2016,38.65
3/2/2016,38.77
3/3/2016,38.97
3/4/2016,38.48
3/7/2016,38.64
3/8/2016,38.95
3/9/2016,38.2
3/10/2016,37.57
3/11/2016,37.75
3/14/2016,37.09
3/15/2016,36.77
3/16/2016,37.18
3/17/2016,37.16
3/18/2016,36.93
3/21/2016,37.35
3/22/2016,37.28
3/23/2016,37.07
3/24/2016,37
3/28/2016,37.04
3/29/2016,38.43
3/30/2016,38.44
3/31/2016,38.3
4/1/2016,39.36
4/4/2016,39.66
4/5/2016,39.14
4/6/2016,39.1
4/7/2016,38.82
4/8/2016,38.7
4/11/2016,38.64
4/12/2016,38.89
4/13/2016,38.85
4/14/2016,38.81
4/15/2016,39.29
4/18/2016,39.25
4/19/2016,39.85
4/20/2016,40.15
4/21/2016,40.25
4/22/2016,40.22
4/25/2016,41.18
4/26/2016,39.33
4/27/2016,39.7
4/28/2016,39.76
4/29/2016,39.28
5/2/2016,39.99
5/3/2016,39.66
5/4/2016,39.1
5/5/2016,39.25
5/6/2016,39.49
5/9/2016,39.9
5/10/2016,40.81
5/11/2016,40.82
5/12/2016,40.72
5/13/2016,40.64
5/16/2016,40.62
5/17/2016,40.72
5/18/2016,40.68
5/19/2016,40.81
5/20/2016,41.7
5/23/2016,41.64
5/24/2016,41.87
5/25/2016,42.12
5/26/2016,42.63
5/27/2016,42.54
5/31/2016,42.76
6/1/2016,42.62
6/2/2016,43.19
6/3/2016,43.63
6/6/2016,43.07
6/7/2016,43.74
6/8/2016,43.91
6/9/2016,43.08
6/10/2016,41.93
6/13/2016,42.07
6/14/2016,42.35
6/15/2016,41.66
6/16/2016,41.76
6/17/2016,41.77
6/20/2016,42.28
6/21/2016,42.92
6/22/2016,42.7
6/23/2016,43.67
6/24/2016,41.1
6/27/2016,41.2
6/28/2016,42.51
6/29/2016,43.45
6/30/2016,43.27
7/1/2016,42.99
7/5/2016,43.21
7/6/2016,43.15
7/7/2016,42.96
7/8/2016,43.58
7/11/2016,44.04
7/12/2016,43.64
7/13/2016,44.21
7/14/2016,44.03
7/15/2016,44.41
7/18/2016,44.37
7/19/2016,44.38
7/20/2016,44.54
7/21/2016,44.67
7/22/2016,45.44
7/25/2016,45.04
7/26/2016,44.98
7/27/2016,45.64
7/28/2016,46.22
7/29/2016,46.34
8/1/2016,47.07
8/2/2016,46.81
8/3/2016,47.21
8/4/2016,47.33
8/5/2016,47.78
8/8/2016,47.61
8/9/2016,47.64
8/10/2016,47.2
8/11/2016,46.83
